"missing_rate","missing_percent","replication","model","realised_training_missing_fraction","gnar_training_rows","rmse","mae","coverage_95"
0.1,10,10,"OLS GNAR",0.102853881278539,6256,3.83310838644656,2.70688536495288,NA
0.1,10,10,"Bayesian Gaussian GNAR",0.102853881278539,6256,3.83283868197034,2.70708187159932,0.922072072072072
0.2,20,1,"Persistence",0.196917808219178,4522,4.30229556346225,3.04413044801931,NA
0.2,20,1,"Ridge VAR",0.196917808219178,4522,3.9155460832741,2.77126049404297,NA
0.2,20,1,"OLS GNAR",0.196917808219178,4522,3.83829802152064,2.70751082434871,NA
0.2,20,1,"Bayesian Gaussian GNAR",0.196917808219178,4522,3.83871678932674,2.70750188280612,0.927027027027027
0.2,20,2,"Persistence",0.199086757990868,4441,4.30532107133204,3.04722552523938,NA
0.2,20,2,"Ridge VAR",0.199086757990868,4441,3.90376550768129,2.74635538320314,NA
0.2,20,2,"OLS GNAR",0.199086757990868,4441,3.82869987394318,2.71517402719862,NA
0.2,20,2,"Bayesian Gaussian GNAR",0.199086757990868,4441,3.82866614771532,2.71521114392467,0.92972972972973
0.2,20,3,"Persistence",0.196917808219178,4497,4.30663945980827,3.04691505226641,NA
0.2,20,3,"Ridge VAR",0.196917808219178,4497,3.82239897970517,2.7065676338571,NA
0.2,20,3,"OLS GNAR",0.196917808219178,4497,3.8299005619658,2.7097273780291,NA
0.2,20,3,"Bayesian Gaussian GNAR",0.196917808219178,4497,3.83011943877643,2.70989245324093,0.923423423423423
0.2,20,4,"Persistence",0.19486301369863,4488,4.30161053232503,3.04264256728143,NA
0.2,20,4,"Ridge VAR",0.19486301369863,4488,3.66089929142855,2.5825210205314,NA
0.2,20,4,"OLS GNAR",0.19486301369863,4488,3.84072301755892,2.7008922165726,NA
0.2,20,4,"Bayesian Gaussian GNAR",0.19486301369863,4488,3.84057010281578,2.70108891936768,0.912612612612613
0.2,20,5,"Persistence",0.202283105022831,4364,4.30462324550631,3.04764519490905,NA
0.2,20,5,"Ridge VAR",0.202283105022831,4364,3.83990871205791,2.7399072196528,NA
0.2,20,5,"OLS GNAR",0.202283105022831,4364,3.82700416248768,2.70654192352491,NA
0.2,20,5,"Bayesian Gaussian GNAR",0.202283105022831,4364,3.82732499492634,2.70636979934963,0.914414414414414
0.2,20,6,"Persistence",0.192351598173516,4555,4.30349796604945,3.04482730827242,NA
0.2,20,6,"Ridge VAR",0.192351598173516,4555,3.88205023639433,2.72458901573065,NA
0.2,20,6,"OLS GNAR",0.192351598173516,4555,3.82727965373128,2.71187227082961,NA
0.2,20,6,"Bayesian Gaussian GNAR",0.192351598173516,4555,3.82729174561642,2.71199975831732,0.924774774774775
0.2,20,7,"Persistence",0.197146118721461,4497,4.30325371001364,3.04350289010425,NA
0.2,20,7,"Ridge VAR",0.197146118721461,4497,3.88565546825785,2.76361085165847,NA
0.2,20,7,"OLS GNAR",0.197146118721461,4497,3.84238054558597,2.71585032034528,NA
0.2,20,7,"Bayesian Gaussian GNAR",0.197146118721461,4497,3.84227544579657,2.71562064953592,0.926576576576577
0.2,20,8,"Persistence",0.19703196347032,4526,4.30329775024671,3.04488031127542,NA
0.2,20,8,"Ridge VAR",0.19703196347032,4526,3.81735833830104,2.73422471281957,NA
0.2,20,8,"OLS GNAR",0.19703196347032,4526,3.82487207673644,2.71078259798622,NA
0.2,20,8,"Bayesian Gaussian GNAR",0.19703196347032,4526,3.82461159936246,2.71110451936977,0.930630630630631
0.2,20,9,"Persistence",0.198401826484018,4497,4.30457292585556,3.04601325046461,NA
0.2,20,9,"Ridge VAR",0.198401826484018,4497,3.80888025655313,2.70586315411991,NA
0.2,20,9,"OLS GNAR",0.198401826484018,4497,3.82833680881427,2.71224369808179,NA
0.2,20,9,"Bayesian Gaussian GNAR",0.198401826484018,4497,3.82827718459148,2.71247944196037,0.922522522522523
